numer miejsca,nazwa,nazwa angielska,Opis,współrzędne,typ,czas dojazdu ze Stravros,godziny otwarcia,najlepsza pora zwiedzania,orientacyjny czas zwiedzania,koszt zwiedzania dla rodziny 2+2,Konieczna akcja,Zaplecze gastronomiczne,Ile jedzenia,Poziom trudności ADHD,Potencjał meltdownu,Strategie na meltdown,Ochrona przed słońcem,Najlepiej połączyć z,Zadania dla dzieci
34,Ledergasse Chania,Ledergasse Chania,"Słynna, wąska uliczka handlowa („Skórzana”) w Chanii, wypełniona rzemieślniczymi wyrobami ze skóry, od tradycyjnych sandałów po torby, tętniąca lokalnym życiem.","35.5158, 24.0185",shop,25 min,9:00 - 21:00 (w sezonie),przedpołudnie lub wieczór,30 - 60 min,"0 EUR (wstęp wolny, zakupy płatne)",Brak.,"Słynna ulica handlowa (Skórzana) w Chanii, otoczona niezliczonymi tawernami i restauracjami Starego Miasta (np. Tamam, Chrisostomos).",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Średnie - Zatłoczona ulica handlowa w Chanii. Duża liczba ludzi, hałas i bodźce wzrokowe mogą szybko zmęczyć dziecko AuDHD. Wskazówki: Zaplanuj spacer w godzinach porannych, rób przerwy w bocznych, spokojnych alejkach, użyj słuchawek wygłuszających.","Wysoki - Dzieci: Krótki dojazd (25 min), ale wąska, zatłoczona ulica handlowa z ogromną ilością zapachów skór, hałasem rozmów i bodźców wzrokowych to przepis na szybkie przebodźcowanie dziecka AuDHD. Rodzice: Stres związany z ciągłym pilnowaniem dzieci w tłumie, by nie zgubiły się ani niczego nie uszkodziły w sklepach.","Wąska i hałaśliwa ulica handlowa może wywołać nagły kryzys sensoryczny z powodu tłumu i zapachów. Zaplanujcie spacer wyłącznie w godzinach porannych, róbcie częste przerwy w bocznych, cichych alejkach i załóżcie dziecku AuDHD słuchawki wygłuszające.","Półcień / Pełne słońce. Wąskie, klimatyczne uliczki starej Chanii rzucają dużo cienia, jednak w południe słońce dociera do dna ulicy.","Muzeum Archeologiczne w ... (Miejsce 4), Akti Tompazi 16 (Miejsce 27), Plaża miejska Nea Chora (Miejsce 44) - zakupy w Chanii najlepiej połączyć ze spacerem po starym porcie i wizytą w klimatyzowanym muzeum.","1. Dotknij różnych wyrobów ze skóry (np. sandałów, torebek) i poczuj ich unikalny, intensywny zapach. 2. Policz, ile sklepów z butami mijacie na tej wąskiej uliczce. 3. Znajdź skórzany breloczek w kształcie zwierzątka i nazwij to zwierzę."
35,Apopsi,Apopsi,"Uroczy, lokalny sklepik z pamiątkami i rzemiosłem artystycznym w historycznym centrum Chanii, oferujący unikalne wyroby kreteńskie zamiast masowej produkcji.","35.5162, 24.0189",shop,25 min,9:00 - 22:00 (w sezonie),popołudniowy lub wieczorny spacer po Chanii,15 - 30 min,"0 EUR (wstęp wolny, zakupy płatne)",Brak.,Sklep z pamiątkami w Chanii – wokół pełna infrastruktura gastronomiczna i restauracje Starego Miasta.,Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Mały, spokojny sklepik rzemieślniczy. Krótka wizyta.","Niski - Krótki dojazd (25 min). Szybka, bezstresowa wizyta w małym sklepie rzemieślniczym nie obciąża dzieci, a rodzicom pozwala na spokojne zakupy bez presji czasu i kosztów.","Spokojny, mały sklepik rzemieślniczy. Krótki czas pobytu eliminuje ryzyko znudzenia. Niech dzieci wybiorą jedną małą pamiątkę, co skupi ich uwagę i da poczucie sprawczości.",Cień (Wewnątrz). Sklep z pamiątkami w klimatyzowanym wnętrzu.,"Muzeum Archeologiczne w ... (Miejsce 4), Akti Tompazi 16 (Miejsce 27), Plaża miejska Nea Chora (Miejsce 44) - zakupy w Chanii najlepiej połączyć ze spacerem po starym porcie.","1. Odszukaj najdziwniejszą rzeźbę lub obraz w sklepie z pamiątkami. 2. Znajdź magnes na lodówkę z rysunkiem osiołka lub Minotaura. 3. Policz, ile kolorów ma najbarwniejsza ceramika na wystawie."
36,Memorabilia,Memorabilia,"Tradycyjny sklepik z pamiątkami w urokliwych zaułkach Chanii, oferujący rzemieślnicze drobiazgi, ceramikę, magnesy i pocztówki inspirowane Kretą.","35.5161, 24.0192",shop,25 min,9:00 - 22:00 (w sezonie),popołudniowy lub wieczorny spacer po Chanii,15 - 30 min,"0 EUR (wstęp wolny, zakupy płatne)",Brak.,"Sklep z pamiątkami w Chanii – w bliskim sąsiedztwie kawiarni, barów oraz restauracji Starego Portu.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Mały sklepik z pamiątkami, szybkie zakupy.",Niski - Krótka wizyta w małym sklepie z pamiątkami blisko portu. Brak kolejek i łatwość ewakuacji na otwartą przestręń nabrzeża dają rodzicom pełne bezpieczeństwo psychiczne.,"Szybka wizyta po pamiątki. Pozwólcie dzieciom delikatnie pooglądać drewniane lub tekstylne wyroby, co da im bezpieczny bodziec dotykowy. W razie zmęczenia wyjdźcie na otwarty plac przed sklepem.",Cień (Wewnątrz). Sklepik z pamiątkami w zacienionym wnętrzu kamienicy.,"Muzeum Archeologiczne w ... (Miejsce 4), Akti Tompazi 16 (Miejsce 27), Plaża miejska Nea Chora (Miejsce 44) - pamiątki z Chanii kupisz przy okazji spaceru po starym mieście.","1. Znajdź pamiątkę, która najbardziej kojarzy Ci się z morzem (np. z muszelkami lub statkiem). 2. Policz małe figurki starożytnych greckich bogów stojące na półkach. 3. Wybierz pocztówkę z najpiękniejszym widokiem i wyobraź sobie, do kogo z rodziny ją wyślesz."
37,Chalidon 28,Chalidon 28,"Lokalny punkt handlowy przy jednej z głównych ulic Starego Miasta w Chanii, oferujący kreteńskie pamiątki, tradycyjne instrumenty muzyczne i tradycyjne wyroby.","35.5165, 24.0182",shop,25 min,9:00 - 22:00 (w sezonie),popołudniowy lub wieczorny spacer po Chanii,15 - 30 min,"0 EUR (wstęp wolny, zakupy płatne)",Brak.,"Adres handlowy w centrum Chanii, otoczony restauracjami, kawiarniami i punktami szybkiej gastronomii (street food).",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Kolejny lokalny sklepik, brak wymagań długiego czekania.","Niski - Położenie w centrum Chanii. Krótka i dynamiczna wizyta w sklepie nie wymaga cierpliwości od dzieci, a wokół jest pełno lodziarni i kawiarni na szybką nagrodę.","Krótkie zakupy w centrum Chanii. Trzymajcie pod ręką wodę i chłodną przekąskę. W razie nagłego kryzysu zrezygnujcie ze sklepów i przejdźcie do Starego Portu, gdzie otwarta przestrzeń i widok na morze ułatwiają regulację.",Cień (Wewnątrz). Przestrzeń sklepowa wewnątrz budynku.,"Muzeum Archeologiczne w ... (Miejsce 4), Akti Tompazi 16 (Miejsce 27), Plaża miejska Nea Chora (Miejsce 44) - zakupy na głównej ulicy handlowej Chanii.","1. Znajdź na wystawie sklepu tradycyjne, greckie instrumenty muzyczne (np. buzuki). 2. Policz, ile kroków dzieli wejście do tego sklepu od głównej ulicy. 3. Odszukaj wiszące niebieskie oko (talizman 'oko proroka') i dowiedz się, przed czym ma chronić."
38,Flakatoras Ceramics,Flakatoras Ceramics,"Autorska galeria i pracownia ceramiki w Chanii, prezentująca kolorowe, ręcznie malowane naczynia i rzeźby użytkowe inspirowane kreteńską florą i fauną.","35.5160, 24.0175",shop,25 min,9:00 - 22:00 (w sezonie),popołudniowy lub wieczorny spacer po Chanii,15 - 30 min,"0 EUR (wstęp wolny, zakupy płatne)",Brak.,Sklep z ceramiką w Chanii – wokół pełna infrastruktura gastronomiczna Starego Miasta i okolic portu.,Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Sklep z ceramiką artystyczną, ciekawe kolory i faktury naczyń.","Niski - Przyjazny sklep z ceramiką artystyczną w Chanii. Ciekawe dla dzieci kolory i tekstury naczyń, krótki czas pobytu i łatwa ewakuacja eliminują ryzyko meltdownu.","Mały sklepik rzemieślniczy. Oglądanie kolorowych, unikalnych wyrobów z ceramiki to miły bodziec wzrokowy. Krótki czas pobytu bez kolejek chroni przed dysregulacją.",Cień (Wewnątrz). Warsztat i galeria ceramiki w chłodnym budynku.,"Muzeum Archeologiczne w ... (Miejsce 4), Akti Tompazi 16 (Miejsce 27), Plaża miejska Nea Chora (Miejsce 44) - pracownia ceramiki w centrum Chanii.",1. Znajdź talerz pomalowany w tradycyjne kreteńskie wzory roślinne. 2. Policz wszystkie gliniane dzwoneczki wiszące na sznurkach przy wejściu. 3. Dotknij faktury nieszkliwionego naczynia i opisz różnicę między szorstkim a gładkim.
39,Dourakis Winery,Dourakis Winery,"Butikowa, rodzinna winnica w Alikampos, słynąca z darmowego oprowadzania po kamiennych piwnicach i degustacji wyśmienitych win w malowniczym, zielonym ogrodzie.","35.3218, 24.2185",shop,55 min,10:00 - 18:00,popołudnie (degustacja w ogrodzie),1.5 - 2 godziny,"0 EUR (wstęp i oprowadzanie wolne, degustacja płatna)",Rekomendowana wcześniejsza rezerwacja online na degustację wina w ogrodzie.,Winnica serwuje wyłącznie lokalne przekąski i deski serów/wędlin do degustacji w ogrodzie. Na pełny obiad autorka rekomenduje pobliski Maza Cafenion.,"Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Oprowadzanie po piwnicach i degustacja. Czas siedzenia przy stole podczas degustacji dorosłych może być trudny dla dzieci. Wskazówki: Wybierz stolik w ogrodzie, przynieś zabawki sensoryczne, pozwól dzieciom biegać po trawniku między stolikami.","Średni - Dzieci: Dojazd (55 min) jest łatwy. Piękny, butikowy ogród pozwala dzieciom na swobodny ruch, choć czas degustacji dorosłych przy stoliku wymaga przygotowania zabawek/kolorowanek. Rodzice: Bezpłatny wstęp (0 EUR) i niezwykle spokojne otoczenie pozwalają rodzicom na sensoryczne wyciszenie przy kieliszku wina.","Winnica oferuje ładny ogród i piwniczki, ale czas degustacji wymaga cierpliwości od dzieci. Umożliwcie dzieciom spacer po trawie i ogrodzie winnicy, dajcie im kolorowanki przy stoliku lub połączcie wizytę z obiadem w pobliskim, luźnym Maza Cafenion.","Półcień / Cień. Kamienny dziedziniec winnicy jest zacieniony pergolami i drzewami, a piwnice leżakowe są całkowicie chłodne i ciemne.","Lake Kournas (Miejsce 3), Ancient Aptera (Miejsce 7) - winnica leży w pobliżu drogi krajowej do Georgioupoli; idealny przystanek na trasie do jeziora Kournas.","1. Zejdź do chłodnej, kamiennej piwnicy i powąchaj zapach dębowych beczek, w których leżakuje wino. 2. Znajdź w ogrodzie winnicy ukrytą rzeźbę lub ładny, stary dzban. 3. Policz, ile różnych kolorów butelek z winem widzisz na wystawie."
40,Anoskeli Winery,Anoskeli Winery,"Rodzinna posiadłość w Kolymvari łącząca świat wina i oliwy, oferująca zwiedzanie nowoczesnego młyna oraz degustację win Ano Playa i ekologicznej oliwy Tsounati.","35.4651, 23.7712",shop,50 min,10:00 - 18:00,"popołudnie (degustacja oliwy i wina, zwiedzanie młyna)",1.5 - 2 godziny,"0 EUR (wstęp wolny, degustacje płatne)",Rekomendowana wcześniejsza rezerwacja online na degustację wina/oliwy i zwiedzanie młyna.,"Winnica oferuje degustację swoich win i oliwy extra virgin wraz z lokalnymi przekąskami kreteńskimi, nie prowadzi jednak pełnej restauracji lunchowej.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.",Średnie - Wizyta w oliwiarni/degustacja. Podobnie jak w winnicach – wymaga cierpliwości podczas opowiadań. Wskazówki: Wykorzystaj rozległe ogrody oliwne na spacer i rozładowanie energii.,"Średni - Dzieci: Dojazd (50 min). Podobnie jak w Dourakis – ogrody dają przestrzeń do oddechu, ale sama prezentacja i degustacja wymagają cierpliwości. Rodzice: Spokojna, rodzinna atmosfera oliwiarni bez tłumów pozwala na relaks bez lęku o ocenę zachowania dzieci.",Podobnie jak w innych winnicach – wizyta w oliwiarni wymaga cierpliwości rodziców przy opowieściach. Pozwólcie dzieciom badać sensorycznie chropowate pnie oliwek na zewnątrz i spróbować delikatnego chleba maczanego w łagodnej oliwie.,Cień (Wewnątrz) / Półcień. Klimatyzowana sala degustacyjna oraz zacieniony taras z widokiem na gaje oliwne.,"Kisamos (Miejsce 17), Kastelli archaeological site (Miejsce 10) - winnica leży w połowie drogi na zachód do Kissamos.","1. Zobacz wielkie prasy do wyciskania oliwek i spróbuj zgadnąć, ile oliwek potrzeba na jedną butelkę oliwy. 2. Spróbuj zjeść chrupiącą grzankę zamoczoną w świeżej oliwie z oliwek. 3. Policz, ile rzędów drzew oliwnych rośnie wokół budynku."
41,Holy Trinity Tzagaróli Monas...,Holy Trinity Tzagaroli Monastery Shop,"Klasztorny sklepik w monastyrze Agia Triada, w którym można zakupić ekologiczne produkty wytwarzane przez mnichów, w tym oliwę extra virgin, wino, ocet i miód tymiankowy.","35.4656, 24.1248",shop,15 min,od wschodu do zachodu słońca,późne popołudnie,1 - 1.5 godziny,"4 EUR (dorośli: 2x2 EUR, dzieci bezpłatnie)",Brak.,"Sklep klasztorny z produktami mnichów (wino, oliwa). Najbliższe restauracje i kawiarnie znajdują się w drodze powrotnej lub w Stavros/Kalathas.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Sklep klasztorny z lokalnymi produktami. Szybka wizyta, ładne otoczenie.","Niski - Bardzo blisko bazy (15 min). Szybkie zakupy w pięknym klasztornym sklepie z produktami od mnichów nie wymagają od dzieci wysiłku, a piękne otoczenie sprzyja wyciszeniu.","Szybka, 15-minutowa wizyta handlowa. Kupcie ekologiczny miód lub oliwę i pozwólcie dzieciom nieść małe, bezpieczne pakunki, co da im poczucie ważnego zadania i rozładuje energię.","Cień (Wewnątrz). Sklep klasztorny mieści się w grubych, chłodnych murach monastyru.","Holy Trinity Tzagaróli Monas... (Miejsce 25), Plaża w Stavros (Miejsce 45), Plaża Tersanas (Miejsce 46) - sklep przyklasztorny odwiedza się razem z monastyrem oraz pobliskimi plażami na Akrotiri.","1. Odszukaj na półkach butelkę oliwy z oliwek z etykietą klasztorną i znajdź na niej rysunek klasztoru. 2. Powąchaj naturalny miód tymiankowy produkowany przez mnichów – opisz jego zapach. 3. Policz, ile dużych glinianych amfor (pitosów) stoi przy wejściu do sklepu."
42,Stemfilo Winery Paterakis,Stemfilo Winery Paterakis,"Kameralna, rodzinna winiarnia oferująca bezpretensjonalne degustacje win na tarasie widokowym z pięknym widokiem na zachodzące słońce i gaje oliwne.","35.4412, 24.1185",shop,45 min,11:00 - 19:00,późne popołudnie (piękny zachód słońca z tarasu),1.5 - 2 godziny,"0 EUR (wstęp wolny, degustacja/zakupy płatne)",Rekomendowana wcześniejsza rezerwacja online na degustację wina na tarasie widokowym.,"Winnica oferuje degustację win z deskami lokalnych serów i przekąsek na tarasie widokowym, bez pełnego menu restauracyjnego.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Mała rodzinna winiarnia. Mniej formalna niż duże obiekty, co ułatwia swobodne zachowanie dzieci.","Średni - Dzieci: Dojazd (45 min) jest znośny. Kameralna, mała i nieformalna atmosfera rodzinnej winiarni ułatwia swobodne zachowanie dzieci na widokowym tarasie. Rodzice: Niski stres finansowy i bezpośredni, bardzo życzliwy kontakt z gospodarzami redukują niepokój społeczny.","Mała, rodzinna winiarnia z luźną atmosferą. Brak sztywnej etykiety sprawia, że rodzice czują mniejszy stres społeczny. Dzieci mogą bezpiecznie odpoczywać na tarasach widokowych i obserwować góry.",Cień (Wewnątrz) / Półcień. Kameralna sala degustacyjna i zacienione obejście.,"Ancient Aptera (Miejsce 7), mill.o.petres (Miejsce 28) - kameralna winiarnia w rejonie Apokoronas, świetna na popołudniowy relaks.","1. Wypatruj tradycyjnych urządzeń do destylacji (miedzianych alembików) i zapytaj, jak się nazywają. 2. Policz, ile miedzianych lub drewnianych beczek służy tu za dekorację. 3. Znajdź najmłodszy krzew winny rosnący najbliżej wejścia."
43,Manousakis Winery,Manousakis Winery,"Wyjątkowa winnica rodziny Manousakis w Vatolakkos o toskańskim klimacie, słynąca z produkcji win Nostos, doskonałej restauracji ogrodowej oraz warsztatów artystycznych.","35.4445, 23.9052",shop,45 min,10:00 - 22:00,późne popołudnie i wieczór (wine tasting z kolacją przy zachodzie słońca),2 - 3 godziny,"0 EUR (wstęp wolny, degustacja/zakupy płatne)","Bardzo rekomendowana wcześniejsza rezerwacja online, szczególnie na wine tasting połączony z kolacją w ogrodzie.","Tak, na terenie winnicy działa wyśmienita restauracja serwująca dania tradycyjnej kuchni kreteńskiej, idealnie skomponowane z produkowanymi na miejscu winami.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Winnica z pięknym ogrodem restauracyjnym. Dzieci mogą spacerować pod drzewami pomarańczowymi, ale czas oczekiwania na dania wymaga organizacji czasu. Wskazówki: Weź ze sobą proste gry planszowe lub karty do stolika.","Średni - Dzieci: Dojazd (45 min) jest łatwy. Przepiękny ogród restauracyjny pod drzewami pomarańczowymi pozwala na krótki spacer, choć czas spędzony przy stole podczas kolacji i degustacji wymaga zabrania zabawek wyciszających. Rodzice: Relaksująca kolacja w cieniu drzew i wybitne wino doskonale regenerują zmęczony układ nerwowy rodziców.","Wspaniały ogród restauracyjny z dużą ilością zieleni. Dzieci mogą bezpiecznie spacerować pod drzewami pomarańczowymi w cieniu, badając opadłe liście, podczas gdy rodzice w spokojnej atmosferze degustują wina.","Półcień. Degustacja i lunch odbywają się na urokliwym patio, pod gęstym cieniem dojrzałych drzew pomarańczowych i oliwnych.","Botanical Garden of Crete (Miejsce 5), Arevitis Farm (Miejsce 9) - wytworna winiarnia w Vatolakkos, idealny przystanek w drodze powrotnej z Ogrodu Botanicznego.","1. Znajdź w pięknym ogrodzie najgrubszy pień drzewa pomarańczowego i spróbuj go zmierzyć rozpiętością swoich ramion. 2. Policz, ile szklanych kieliszków stoi na stole degustacyjnym rodziców. 3. Narysuj na kartce papieru swoją własną, wymarzoną etykietę na butelkę soku winogronowego."
44,Plaża Kalathas,Kalathas Beach,"Bezpieczna, piaszczysta plaża na półwyspie Akrotiri z łagodnym zejściem do wody i bardzo spokojnym morzem, idealna dla rodzin z małymi dziećmi.","35.5552, 24.0831",plaża,10 min,brak ograniczeń,wczesny poranek lub późne popołudnie,2 - 4 godziny,0 EUR (wstęp wolny),Brak.,"Tak, tuż przy plaży działa tradycyjna tawerna oraz kantyna serwująca lunch, przekąski i napoje.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Plaża z bardzo łagodnym zejściem do wody, drobny piasek i spokojne morze. Świetne warunki do bezpiecznej zabawy bez przeciążenia sensorycznego.","Niski - Dzieci: Bardzo blisko (10 min). Niezwykle łagodne zebranie, miękki piasek i spokojne morze działają kojąco i regulująco na zmysły dzieci. Rodzice: Zerowy koszt wstępu (0 EUR) i brak jazdy samochodem dają 100% relaksu i komfortu psychicznego.","Idealne warunki na bezstresowe plażowanie. Bardzo łagodne, płytkie wejście do wody, drobny piasek i brak fal dają dzieciom poczucie bezpieczeństwa fizycznego i ułatwiają rodzicom czujną, spokojną obserwację bez lęku.","Pełne słońce. Szeroka, piaszczysta plaża całkowicie wystawiona na słońce. Dostępne są parasole i leżaki do wynajęcia.","Plaża Tersanas (Miejsce 46), Plaża w Stavros (Miejsce 45), Holy Trinity Tzagaróli Monas... (Miejsce 25) - najbliższe sąsiedztwo na półwyspie Akrotiri, doskonałe na krótkie, niewyczerpujące wyjazdy.","1. Sprawdź, czy dasz radę dopłynąć (lub przejść z rodzicami przy niskiej wodzie) do małej wysepki naprzeciwko plaży. 2. Zbuduj z mokrego piasku wielki wulkan, a potem wykop kanał, przez który woda z morza dopłynie do krateru. 3. Policz, ile małych krabów lub muszelek uda Ci się znaleźć na brzegu."
45,Plaża miejska Nea Chora,Nea Chora City Beach,"Szeroka plaża miejska w Chanii z łagodnym brzegiem, słynąca z tętniącej życiem promenady i najlepszych na wyspie tawern serwujących świeże owoce morza.","35.5143, 24.0092",plaża,25 min,brak ograniczeń,przedpołudnie (woda najczystsza) lub wieczór na zachód słońca,2 - 3 godziny,0 EUR (wstęp wolny),Brak.,"Wybitne zaplecze gastronomiczne – ulica wzdłuż plaży słynie z najlepszych tawern rybnych w Chanii (np. Kaiki, Mikrolimano, Achilleas, Woodstock).","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Miejska plaża blisko centrum Chanii. Bywa tłoczna i głośna, ale bliskość tawern ułatwia logistykę posiłków. Wskazówki: Wybierz godziny poranne lub późnopopołudniowe.","Średni - Dzieci: Krótki dojazd (25 min). Plaża bywa głośna i zatłoczona (hałas miejski), co może drażnić dziecko AuDHD. Rodzice: Bliskość doskonałych tawern rybnych tuż przy piasku ułatwia logistykę posiłków, ale pilnowanie dzieci w gęstszym tłumie wymaga skupienia.","Miejska plaża bywa głośniejsza, dlatego w razie przebodźcowania dźwiękami Starego Miasta, przejdźcie od razu do jednej z tawern rybnych tuż przy brzegu na pyszny obiad w głębokim cieniu.","Pełne słońce. Szeroka plaża miejska bez naturalnego cienia, tawerny przy promenadzie oferują jednak markizy i parasole.","Muzeum Archeologiczne w ... (Miejsce 4), Akti Tompazi 16 (Miejsce 27) - plaża miejska leży w Chanii, tuż obok historycznego portu i muzeów.","1. Spaceruj wzdłuż brzegu i zbieraj kolorowe szkiełka morskie wyszlifowane przez fale (tzw. sea glass). 2. Policz, ile kutrów rybackich wypływa lub cumuje w małym porcie obok plaży. 3. Zrób na piasku gigantyczny ślad swojej stopy."
46,Plaża w Stavros,Stavros Beach,"Słynna zatoka o białym piasku u stóp góry Vardies, znana z filmu „Grek Zorba” – płytka, osłonięta od fal i wiatru, przypominająca bezpieczne jezioro.","35.5908, 24.0761",plaża,0 min,brak ograniczeń,wczesny poranek lub późne popołudnie (Sunset Cafe Bar),2 - 4 godziny,0 EUR (wstęp wolny),Brak.,"Tak, przy plaży działa kilka świetnych tawern serwujących świeże ryby i owoce morza oraz klimatyczny Sunset Cafe Bar pod tamaryszkami.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Słynna plaża w Stavros. Płytka, przypominająca jezioro zatoka, brak fal, czysty piasek. Idealna, bezpieczna i uspokajająca przestrzeń dla dzieci neuroatypowych.","Niski - Dzieci: Lokalna baza (0 min dojazdu). Płytka, bezfalowa, przypominająca jezioro zatoka to najbezpieczniejsze sensorycznie miejsce na Krecie do nieskrępowanej zabawy w wodzie. Rodzice: Całkowity brak zmęczenia jazdą, zero kosztów (0 EUR) i możliwość natychmiastowego powrotu do domu w razie jakichkolwiek oznak zmęczenia dają maksymalny komfort.","Kultowa plaża tuż przy Waszym domu w Stavros. Płytka, spokojna jak jezioro zatoka otoczona górą jest całkowicie bezpieczna. W razie nagłego meltdownu u dziecka lub rodzica, możecie spakować się i wrócić do domu pieszo lub autem w 2 minuty.",Pełne słońce. Plaża w zatoce otoczona skałami – brak naturalnego cienia na piasku. Warto wynająć leżak z parasolem lub schronić się w tawernie.,"Plaża Tersanas (Miejsce 46), Plaża Kalathas (Miejsce 43), Holy Trinity Tzagaróli Monas... (Miejsce 25) - Wasza domowa baza; idealna na łączenie z innymi punktami na półwyspie Akrotiri.","1. Spójrz na wielką, pionową górę wznoszącą się nad plażą i wyobraź sobie, że to śpiący olbrzym (znajdź jego nos i brodę!). 2. Ponieważ woda w tej zatoce jest super spokojna i płytka, spróbuj położyć się na wodzie na plecach i posłuchaj podwodnej ciszy. 3. Ułóż z suchych patyków swoje imię na piasku."
47,Plaża Tersanas,Tersanas Beach,"Kameralna i płytka piaszczysta zatoczka blisko Stavros z łagodnym wejściem do morza i cichą tawerną tuż przy brzegu, oaza spokoju dla rodzin.","35.5631, 24.0785",plaża,5 min,brak ograniczeń,wczesny poranek lub późne popołudnie (idealna dla rodzin),2 - 3 godziny,0 EUR (wstęp wolny),Brak.,"Tak, bezpośrednio przy tej kameralnej plaży działa urokliwa, tradycyjna tawerna z pięknym widokiem na zatokę.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Kameralna, bardzo spokojna zatoka z łagodnym wejściem do wody. Mała skala miejsca sprawia, że jest bezpiecznie i cicho.","Niski - Dzieci: Zaledwie 5 minut drogi. Mała, kameralna zatoka o bardzo łagodnym wejściu do wody, pozbawiona silnego wiatru i fal, co ułatwia samoregulację dzieci. Rodzice: Szybki dojazd, zerowe koszty (0 EUR) i pełen spokój małej skali plaży gwarantują bezstresowe popołudnie.","Niezwykle kameralna, schowana w skałach zatoczka ze spokojną wodą. Mała skala miejsca sprawia, że jest ono bardzo przewidywalne i łatwe do kontrolowania dla dziecka AuDHD. Pełna swoboda ruchowa i głęboki cień w tawernie obok.","Pełne słońce. Kameralna, piaszczysta zatoczka, całkowicie nasłoneczniona. Świetna dla dzieci, ale wymaga parasola.","Plaża w Stavros (Miejsce 45), Plaża Kalathas (Miejsce 43), Holy Trinity Tzagaróli Monas... (Miejsce 25) - zaledwie 5 minut od Stavros, idealna na zmianę otoczenia w ciągu dnia.","1. Ta zatoczka jest bardzo mała i spokojna – spróbuj policzyć, ile kroków ma szerokość całej plaży od skały do skały. 2. Znajdź na brzegu bezpieczne miejsce, gdzie woda jest tak przezroczysta, że widać Twoje stopy na dnie. 3. Zrób z piasku i wody 'błotne babki'."
